SNMPTRAP-foundry-FOUNDRY-SN-TRAP-MIB--FOUNDRY-MPLS-MIB-snTrapStartupConfigChanged	2	2	1800	12
SNMPTRAP-foundry-FOUNDRY-SN-TRAP-MIB--FOUNDRY-MPLS-MIB-snTrapUserLogin	2	2	1800	12
SNMPTRAP-foundry-FOUNDRY-SN-TRAP-MIB--FOUNDRY-MPLS-MIB-snTrapUserLogout	2	2	1800	12
SNMPTRAP-foundry-FOUNDRY-SN-TRAP-MIB--FOUNDRY-MPLS-MIB-snTrapVrrpeIfStateChange	''	''	1800	12
SNMPTRAP-foundry-FOUNDRY-SN-TRAP-MIB-snTrapL4SymBecomeActive	2	2	1800	12
SNMPTRAP-foundry-FOUNDRY-SN-TRAP-MIB-snTrapL4SymBecomeStandby	2	2	1800	12
SNMPTRAP-foundry-FOUNDRY-SN-TRAP-MIB-snTrapL4VirtualServerPortDown	2	''	1800	12
SNMPTRAP-linkDown	''	''	1800	13
SNMPTRAP-netScaler-NS-CC-MIB-autoconfigfailure	''	''	1800	10
SNMPTRAP-netScaler-NS-CC-MIB-autoconfigsuccess	2	2	1800	10
SNMPTRAP-netScaler-NS-CC-MIB-ccagentdown	''	''	1800	10
SNMPTRAP-netScaler-NS-CC-MIB-ccagentup	2	2	1800	10
SNMPTRAP-netScaler-NS-CC-MIB-ccha	''	''	1800	10
SNMPTRAP-netScaler-NS-CC-MIB-cpuHigh	''	''	1800	10
SNMPTRAP-netScaler-NS-CC-MIB-cpuNormal	2	52	1800	10
SNMPTRAP-netScaler-NS-CC-MIB-discoveryhapair	''	''	1800	10
SNMPTRAP-netScaler-NS-CC-MIB-discoverystandalone	''	''	1800	10
SNMPTRAP-netScaler-NS-CC-MIB-diskspacelow	''	''	1800	10
SNMPTRAP-netScaler-NS-CC-MIB-diskspacenormal	2	52	1800	10
SNMPTRAP-netScaler-NS-CC-MIB-haDown	''	''	1800	10
SNMPTRAP-netScaler-NS-CC-MIB-haUp	2	52	1800	10
SNMPTRAP-netScaler-NS-CC-MIB-inaccessiblesystems	''	''	1800	10
SNMPTRAP-netScaler-NS-CC-MIB-interfaceDown	''	''	1800	10
SNMPTRAP-netScaler-NS-CC-MIB-interfaceUp	2	52	1800	10
SNMPTRAP-netScaler-NS-CC-MIB-memoryLow	''	''	1800	10
SNMPTRAP-netScaler-NS-CC-MIB-memoryNormal	2	52	1800	10
SNMPTRAP-netScaler-NS-CC-MIB-moAttrChangeNotification	''	''	1800	10
SNMPTRAP-netScaler-NS-CC-MIB-moDeenrolNotification	''	''	1800	10
SNMPTRAP-netScaler-NS-CC-MIB-moEnrolNotification	''	''	1800	10
SNMPTRAP-netScaler-NS-CC-MIB-noPageFault	''	''	1800	10
SNMPTRAP-netScaler-NS-CC-MIB-noautoconfigprofile	''	''	1800	10
SNMPTRAP-netScaler-NS-CC-MIB-pageFault	''	''	1800	10
SNMPTRAP-netScaler-NS-CC-MIB-scheduletask	''	''	1800	10
SNMPTRAP-netScaler-NS-CC-MIB-sslcertificates	''	''	1800	10
SNMPTRAP-netScaler-NS-CC-MIB-threshold	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-DataStreamRateLimitHit	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-aggregateBWUseHigh	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-aggregateBWUseNormal	2	52	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-appfwBufferOverflow	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-appfwCSRFTag	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-appfwCookie	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-appfwDenyUrl	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-appfwFieldConsistency	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-appfwFieldFormat	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-appfwPolicyHit	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-appfwRefererHeader	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-appfwSQL	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-appfwSafeCommerce	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-appfwSafeObject	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-appfwStartUrl	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-appfwViolations	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-appfwXMLAttachment	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-appfwXMLDos	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-appfwXMLSQL	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-appfwXMLSchemaCompile	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-appfwXMLSoapFault	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-appfwXMLValidation	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-appfwXMLWSI	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-appfwXMLXSS	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-appfwXSS	''	''	1800	10
