k2eiazrt02-ifEntry.4	''	''	GigabitEthernet0/0/3	1500	Gi0/0/3	1000000000	6
k2eiazrt02-ifEntry.5	''	''	GigabitEthernet0/0/4	1500	Gi0/0/4	1000000000	6
k2eiazrt02-ifEntry.6	''	NOT IN USE	GigabitEthernet0/0/5	1500	Gi0/0/5	1000000000	6
k2eiazrt02-ifEntry.7	''	''	Crypto-Engine0/0/6	9216	Cr0/0/6	4000000000	1
k2eiazrt02-ifEntry.8	''	Optus ISP1 circuit (servers) - not used unless Router1 is dead	GigabitEthernet0/2/0	1500	Gi0/2/0	30000000	6
k2eiazrt02-ifEntry.9	''	Optus ISP2 circuit (users)	GigabitEthernet0/2/1	1500	Gi0/2/1	30000000	6
k2eiazsw01-ifEntry.1	''	''	GigabitEthernet0/0	1500	Gi0/0	1000000000	6
k2eiazsw01-ifEntry.10	''	k2eiazfw01a_dmz5	GigabitEthernet1/0/8	1500	Gi1/0/8	1000000000	6
k2eiazsw01-ifEntry.100	''	IBM End User (DHCP)/desktop switch	GigabitEthernet2/0/32	1500	Gi2/0/32	1000000000	6
k2eiazsw01-ifEntry.101	''	IBM End User (DHCP)/desktop switch	GigabitEthernet2/0/33	1500	Gi2/0/33	1000000000	6
k2eiazsw01-ifEntry.102	''	IBM End User (DHCP)/desktop switch	GigabitEthernet2/0/34	1500	Gi2/0/34	1000000000	6
k2eiazsw01-ifEntry.103	''	IBM End User (DHCP)/desktop switch	GigabitEthernet2/0/35	1500	Gi2/0/35	1000000000	6
k2eiazsw01-ifEntry.104	''	IBM End User (DHCP)/desktop switch	GigabitEthernet2/0/36	1500	Gi2/0/36	1000000000	6
k2eiazsw01-ifEntry.105	''	k2eiazsvr1	GigabitEthernet2/0/37	1500	Gi2/0/37	1000000000	6
k2eiazsw01-ifEntry.106	''	k2eiazsvr1	GigabitEthernet2/0/38	1500	Gi2/0/38	1000000000	6
k2eiazsw01-ifEntry.107	''	k2eiazsvr1	GigabitEthernet2/0/39	1500	Gi2/0/39	1000000000	6
k2eiazsw01-ifEntry.108	''	k2eiazsvr1	GigabitEthernet2/0/40	1500	Gi2/0/40	1000000000	6
k2eiazsw01-ifEntry.109	''	k2eiazsvr1	GigabitEthernet2/0/41	1500	Gi2/0/41	1000000000	6
k2eiazsw01-ifEntry.11	''	k2eiazfw01a_inside	GigabitEthernet1/0/9	1500	Gi1/0/9	1000000000	6
k2eiazsw01-ifEntry.110	''	''	GigabitEthernet2/0/42	1500	Gi2/0/42	1000000000	6
k2eiazsw01-ifEntry.111	''	k2eiazsn01	GigabitEthernet2/0/43	1500	Gi2/0/43	1000000000	6
k2eiazsw01-ifEntry.112	''	k2eiazsn01	GigabitEthernet2/0/44	1500	Gi2/0/44	1000000000	6
k2eiazsw01-ifEntry.113	''	IDS Scores primary NW-01-035	GigabitEthernet2/0/45	1500	Gi2/0/45	1000000000	6
k2eiazsw01-ifEntry.114	''	IDS Scores secondary backup NW-01-036	GigabitEthernet2/0/46	1500	Gi2/0/46	1000000000	6
k2eiazsw01-ifEntry.115	''	IDS writers switch	GigabitEthernet2/0/47	1500	Gi2/0/47	1000000000	6
k2eiazsw01-ifEntry.116	''	''	GigabitEthernet2/0/48	1500	Gi2/0/48	1000000000	6
k2eiazsw01-ifEntry.117	''	''	GigabitEthernet2/1/1	1500	Gi2/1/1	1000000000	6
k2eiazsw01-ifEntry.118	''	''	GigabitEthernet2/1/2	1500	Gi2/1/2	1000000000	6
k2eiazsw01-ifEntry.119	''	''	GigabitEthernet2/1/3	1500	Gi2/1/3	1000000000	6
k2eiazsw01-ifEntry.12	''	k2eiazsw04	GigabitEthernet1/0/10	1500	Gi1/0/10	1000000000	6
k2eiazsw01-ifEntry.120	''	''	GigabitEthernet2/1/4	1500	Gi2/1/4	1000000000	6
k2eiazsw01-ifEntry.121	''	''	TenGigabitEthernet2/1/1	1500	Te2/1/1	4294967295	6
k2eiazsw01-ifEntry.122	''	''	TenGigabitEthernet2/1/2	1500	Te2/1/2	4294967295	6
k2eiazsw01-ifEntry.123	''	''	TenGigabitEthernet2/1/3	1500	Te2/1/3	4294967295	6
k2eiazsw01-ifEntry.124	''	''	TenGigabitEthernet2/1/4	1500	Te2/1/4	4294967295	6
k2eiazsw01-ifEntry.125	''	''	StackPort2	0	StackPort2	0	53
k2eiazsw01-ifEntry.13	''	k2eiazsw05	GigabitEthernet1/0/11	1500	Gi1/0/11	1000000000	6
k2eiazsw01-ifEntry.130	''	k2eiazfw01 Inside	Port-channel30	1500	Po30	2000000000	53
k2eiazsw01-ifEntry.131	''	k2eiazfw01a Inside	Port-channel31	1500	Po31	2000000000	53
k2eiazsw01-ifEntry.14	''	''	GigabitEthernet1/0/12	1500	Gi1/0/12	1000000000	6
k2eiazsw01-ifEntry.15	''	ATL Server primary	GigabitEthernet1/0/13	1500	Gi1/0/13	1000000000	6
k2eiazsw01-ifEntry.16	''	ATL Server primary	GigabitEthernet1/0/14	1500	Gi1/0/14	1000000000	6
k2eiazsw01-ifEntry.17	''	ATL Server secondary backup	GigabitEthernet1/0/15	1500	Gi1/0/15	1000000000	6
k2eiazsw01-ifEntry.18	''	ATL Server secondary backup	GigabitEthernet1/0/16	1500	Gi1/0/16	1000000000	6
k2eiazsw01-ifEntry.19	''	SERVERS	GigabitEthernet1/0/17	1500	Gi1/0/17	1000000000	6
k2eiazsw01-ifEntry.2	''	''	Null0	1500	Nu0	4294967295	1
k2eiazsw01-ifEntry.20	''	SERVERS	GigabitEthernet1/0/18	1500	Gi1/0/18	1000000000	6
k2eiazsw01-ifEntry.21	''	Ed scoring monitor laptop	GigabitEthernet1/0/19	1500	Gi1/0/19	1000000000	6
k2eiazsw01-ifEntry.22	''	SERVERS	GigabitEthernet1/0/20	1500	Gi1/0/20	1000000000	6
k2eiazsw01-ifEntry.23	''	ATL Servers	GigabitEthernet1/0/21	1500	Gi1/0/21	1000000000	6
k2eiazsw01-ifEntry.24	''	ATL Servers	GigabitEthernet1/0/22	1500	Gi1/0/22	1000000000	6
k2eiazsw01-ifEntry.25	''	ATL Servers	GigabitEthernet1/0/23	1500	Gi1/0/23	1000000000	6
k2eiazsw01-ifEntry.26	''	Tennis Australia LAN/Photo Server network NW01-033 (underneath A	GigabitEthernet1/0/24	1500	Gi1/0/24	1000000000	6
k2eiazsw01-ifEntry.27	''	AP/WiFi	GigabitEthernet1/0/25	1500	Gi1/0/25	1000000000	6
k2eiazsw01-ifEntry.28	''	AP/Wifi Backup	GigabitEthernet1/0/26	1500	Gi1/0/26	1000000000	6
k2eiazsw01-ifEntry.29	''	EI North Wall 2 Tables	GigabitEthernet1/0/27	1500	Gi1/0/27	1000000000	6
k2eiazsw01-ifEntry.3	''	k2eiazrt02	GigabitEthernet1/0/1	1500	Gi1/0/1	1000000000	6
k2eiazsw01-ifEntry.30	''	EI Group 3 Tables	GigabitEthernet1/0/28	1500	Gi1/0/28	1000000000	6
k2eiazsw01-ifEntry.31	''	IBM End User (DHCP)/desktop switch	GigabitEthernet1/0/29	1500	Gi1/0/29	1000000000	6
k2eiazsw01-ifEntry.32	''	IBM End User (DHCP)/desktop switch	GigabitEthernet1/0/30	1500	Gi1/0/30	1000000000	6
k2eiazsw01-ifEntry.33	''	IBM End User (DHCP)/desktop switch	GigabitEthernet1/0/31	1500	Gi1/0/31	1000000000	6
