129.42.26.140	ei.p1
129.42.26.141	ei.p1
129.42.34.140	ei.p2
129.42.34.141	ei.p2
129.42.42.140	ei.p3
129.42.42.141	ei.p3
bld.www-930.events.ibm.com	cs.p3
bld.www-935.events.ibm.com	cs.p3
p1.cmauso-origin.ausopen.com	cs.p1
p1.cmauso.wat-sl.cs186.net	cs.p1
p1.cmmast-origin.masters.com	cs.p1
p1.cmrolg-origin.rolandgarros.com	cs.p1
p1.cmtony-origin.tonyawards.com	cs.p1
p1.cmusga-origin.usopen.com	cs.p1
p1.cmusta-origin.usopen.org	cs.p1
p1.cmwimb-origin.wimbledon.com	cs.p1
p1.comp.ibm.com.cs186.net	ei.p1
p1.origin.ibm.com.cs186.net	ei.p1
p1.origin.prtlprd.events.ibm.com	cs.p1
p1.origin.tonyawards.com	cs.p1
p1.origin.wimbledon.com	cs.p1
p1.origin.wimbledon.org	cs.p1
p1.tickets.drivechipandputt.com	cs.p1
p1.tickets.masters.com	cs.p1
p1.w3.api.eventsgslb.ibm.com	ei.p1
p1.w3.cnp.eventsgslb.ibm.com	ei.p1
p1.w3.edr.eventsgslb.ibm.com	ei.p1
p1.www-930.events.ibm.com	cs.p1
p1.www-935.events.ibm.com	cs.p1
p1.www-944.events.ibm.com	mt.p1
p1.www-945.events.ibm.com	cs.p1
p1.www-946.events.ibm.com	cs.p1
p1.www-947.events.ibm.com	cs.p1
p1.www-947.ibm.com	cs.p1
p1.www-948.ibm.com	cs.p1
p1.www-951.ibm.com	cs.p1
p1.www.collaborationjam.com	mt.p1
p1.www.ibm.com	mt.p1
p1.wwwtest-947.events.ibm.com	cs.p1
p1eirylb01.gslbflowtest.events.ibm.com	ei.p1
p1eirylb02.gslbflowtest.events.ibm.com	ei.p1
p2.cmauso-origin.ausopen.com	cs.p2
p2.cmauso.wat-sl.cs186.net	cs.p2
p2.cmmast-origin.masters.com	cs.p2
p2.cmrolg-origin.rolandgarros.com	cs.p2
p2.cmtony-origin.tonyawards.com	cs.p2
