#system	nodestatus	realm	custtag	role	eihostname	hostenv	systemtype	oslevel
v10060	LIVE	y.cs.p1	ZPAP	WEBSERVER.ZPAP.PRD;WEBSERVER.CLUSTER.YZPRDCL013	p1vsp10	PRD	SYSTEM.P7-780.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10061	LIVE	b.ei.p1	XSR	WEBSERVER.XSR;WEBSERVER.CLUSTER.BZPRDCL003;PUB.XSR.ENDPOINT.PRD.BZ;WEBSERVER.XSR.PRD.BZ	p1vsp06	PRD	SYSTEM.P7-750.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10062	LIVE	g.ei.p1	SHARED	TMF.TMR.SERVER;TMF.EPP.PROXY	p1vsp10	PRD	SYSTEM.P7-780.LPAR	AIX AIX7 64-bit 7100-03-05-1524
v10063	LIVE	y.cs.p1	SHARED	CHEF.CLIENT;UCD.AGENT;JENKINS.MASTER;EI-DEFAULT-JENKINSMASTER	p1vsx04	PRD	SYSTEM.X3650.VM	Linux rh6.7 i386 2.6.32-573.7.1.el6.x86_64
v10064	FLUX	g.ei.p1	SHARED	TSM.OPERATIONS.CENTRE	p1vsp06	PRD	SYSTEM.P7-750.LPAR	AIX AIX7 64-bit 7100-03-05-1524
v10065	LIVE	r.mt.p1	SHARED	NETSCALER;NETSCALER.RZ;NETSCALER.OTHER	p1nsa11	PRD	APPLIANCE.NETSCALER.VM	
v10066	LIVE	r.mt.p1	SHARED	NETSCALER;NETSCALER.RZ;NETSCALER.WWSM	p1nsa12	PRD	APPLIANCE.NETSCALER.VM	
v10067	LIVE	y.cs.p1	ZPAP	WEBSERVER.ZPAP.PRD;WEBSERVER.CLUSTER.YZPRDCL013	p1vsp09	PRD	SYSTEM.P7-780.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10068	LIVE	y.ei.p1	WWSM	LCS.MIDLEVEL;LOG.DROP.CACHES;FTP	p1vsp04	PRD	SYSTEM.P7-740.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10069	LIVE	b.ei.p1	SHARED	WEBSERVER.EI.PORTAL;PUB.BZPRTL.DIST;PUB.BZPRTL.LDIST;PUB.BZPRTL.HUB.BZ;DOMINO.EI;DATABASE.SHARED.CLIENT.DB2V9;WEBSERVER.CLUSTER.BZPRDCL002;MONITORING.SMA.ITM.SITUATION.PASSWDMGR;LCS.TARPKG;DNSPOLL	p1vsp04	PRD	SYSTEM.P7-740.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10070	LIVE	g.ei.p1	IBM	WAS.IBM.PRD2.GZ;PUB.IBM.ENDPOINT.PROD.GZ;MQ.IBM.CLIENT;DATABASE.IBM.CLIENT.DB2V10	p1vsp06	PRD	SYSTEM.P7-750.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10071	LIVE	g.ei.p1	IBM	WAS.IBM.PRD2.GZ;PUB.IBM.ENDPOINT.PROD.GZ;MQ.IBM.CLIENT;DATABASE.IBM.CLIENT.DB2V10	p1vsp13	PRD	SYSTEM.P7-750.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10072	LIVE	b.ei.p1	SHARED	UCD.RELAY.PRD;CHEF.CLIENT	p1vsx03	PRD	SYSTEM.X3650.VM	Linux rh6.7 i386 2.6.32-573.7.1.el6.x86_64
v10073	LIVE	g.ei.p1	SHARED	VMWARE.VCENTER.PORTAL	p1vsx02	PRD	SYSTEM.X3650.VM	Linux rh6.7 i386 2.6.32-573.7.1.el6.x86_64
v10074	LIVE	r.mt.p1	SHARED	NETSCALER;NETSCALER.RZ;NETSCALER.IBM.WWW	p1nsa12	PRD	APPLIANCE.NETSCALER.VM	
v10075	LIVE	b.ei.p1	XSR	WEBSERVER.XSR;WEBSERVER.CLUSTER.BZPRDCL003;PUB.XSR.ENDPOINT.PRD.BZ;WEBSERVER.XSR.PRD.BZ	p1vsp04	PRD	SYSTEM.P7-740.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10076	LIVE	b.ei.p1	EDR	WEBSERVER.EDR.PRD;RADIUS.EDR.PRD;WEBSERVER.CLUSTER.BZPRDCL009;DATABASE.EDR.CLIENT.DB2V10	p1vsx02	PRD	SYSTEM.X3650.VM	Linux rh6.7 i386 2.6.32-573.7.1.el6.x86_64
v10077	LIVE	y.ei.p1	SHARED	GPFS.SERVER.NSD	p1vsp08	PRD	SYSTEM.P7-740.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10078	LIVE	g.ei.p1	SHARED	GPFS.SERVER.NSD	p1vsp05	PRD	SYSTEM.P7-750.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10079	LIVE	b.ei.p1	SHARED	GPFS.SERVER.NSD	p1vsp08	PRD	SYSTEM.P7-740.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10080	LIVE	g.cs.p1	ZPAP	WAS.ZPAP.PROD;DATABASE.ZPAP.CLIENT.DB2V9	p1vsp09	PRD	SYSTEM.P7-780.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10081	LIVE	g.ei.p1	SHARED	TCR.TIP;DATABASE.SMA.TCR.CLIENT.DB2V9.7	p1vsp10	PRD	SYSTEM.P7-780.LPAR	AIX AIX7 64-bit 7100-03-05-1524
v10082	LIVE	y.cs.p1	SSO	WEBSERVER.SSO.PRD;WEBSERVER.CLUSTER.YZPRDCL014	p1vsp09	PRD	SYSTEM.P7-780.LPAR	AIX AIX7 64-bit 7100-03-05-1524
v10083	LIVE	b.ei.p1	SHARED	MONITORING.SMA.ITCAMISM.AGENT;BASTION.INTERNAL.EI;BASTION.INTERNAL.SRM.SCPONLY;MONITORING.SMA.ITCAMDPA.AGENT	p1vsp04	PRD	SYSTEM.P7-740.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10084	LIVE	r.mt.p1	SHARED	NETSCALER;NETSCALER.RZ;NETSCALER.OTHER	p1nsa12	PRD	APPLIANCE.NETSCALER.VM	
v10085	LIVE	g.cs.p1	SHARED	UCD.RELAY.PRD;CHEF.CLIENT	p1vsx04	PRD	SYSTEM.X3650.VM	Linux rh6.7 i386 2.6.32-573.7.1.el6.x86_64
v10086	LIVE	g.cs.p1	SHARED	UCD.RELAY.PRD;CHEF.CLIENT	p1vsx02	PRD	SYSTEM.X3650.VM	Linux rh6.7 i386 2.6.32-573.7.1.el6.x86_64
v10087	LIVE	g.ei.p1	SHARED	DATABASE.SMA.LDAP.DB2V9;LDAP.SMA;MONITORING.SMA.ITCAMISM.AGENT	p1vsp05	PRD	SYSTEM.P7-750.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10088	FLUX	y.cs.p1	JAMS	WEBSERVER.JAMEXT.PRD.YZ;WEBSERVER.JAMEXT.PRD.YZ.PROVISIONED;GPFS.CLIENT;WEBSERVER.CLUSTER.YZPRDCL016	p1vsx02	PRD	SYSTEM.X3650.VM	Linux rh6.7 i386 2.6.32-573.7.1.el6.x86_64
v10089	FLUX	y.cs.p1	JAMS	WEBSERVER.JAMEXT.PRD.YZ;WEBSERVER.JAMEXT.PRD.YZ.PROVISIONED;GPFS.CLIENT;WEBSERVER.CLUSTER.YZPRDCL016	p1vsx03	PRD	SYSTEM.X3650.VM	Linux rh6.7 i386 2.6.32-573.7.1.el6.x86_64
v10090	LIVE	y.ei.p1	SHARED	MONITORING.SMA.ITCAMISM.AGENT;BASTION.INTERNAL.EI;SRM.PROXY;MONITORING.SMA.ITM.SCRIPT.CHKCVT;MONITORING.SMA.ITCAMDPA.AGENT;MONITORING.SMA.MSA.AGENT	p1vsp06	PRD	SYSTEM.P7-750.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10091	LIVE	y.cs.p1	SSO	WEBSERVER.SSO.PRD;WEBSERVER.CLUSTER.YZPRDCL014	p1vsp10	PRD	SYSTEM.P7-780.LPAR	AIX AIX7 64-bit 7100-03-05-1524
v10092	LIVE	g.cs.p1	IBM	WXS.IBM.PRD.PORTAL;WXS.IBM.PRD.PORTAL.GRID	p1vsp10	PRD	SYSTEM.P7-780.LPAR	AIX AIX7 64-bit 7100-03-05-1524
v10093	LIVE	y.cs.p1	WWSM	LOG.DROP.EVENTS.TICKETS	p1vsp04	PRD	SYSTEM.P7-740.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10094	LIVE	g.cs.p1	IBM	WXS.IBM.PRD.PORTAL;WXS.IBM.PRD.PORTAL.GRID	p1vsp10	PRD	SYSTEM.P7-780.LPAR	AIX AIX7 64-bit 7100-03-05-1524
v10095	LIVE	g.cs.p1	IBM	WXS.IBM.PRD.PORTAL;WXS.IBM.PRD.PORTAL.GRID;WXS.IBM.PRD.PORTAL.CATALOG	p1vsp09	PRD	SYSTEM.P7-780.LPAR	AIX AIX7 64-bit 7100-03-05-1524
v10096	LIVE	b.ei.p1	EDR	WEBSERVER.EDR.PRD;RADIUS.EDR.PRD;WEBSERVER.CLUSTER.BZPRDCL009;DATABASE.EDR.CLIENT.DB2V10	p1vsx04	PRD	SYSTEM.X3650.VM	Linux rh6.7 i386 2.6.32-573.7.1.el6.x86_64
v10097	LIVE	r.mt.p1	SHARED	NETSCALER;NETSCALER.RZ;NETSCALER.WWSM	p1nsa13	PRD	APPLIANCE.NETSCALER.VM	
v10098	LIVE	g.cs.p1	IBM	APIM;APPLIANCE.CMC.VM;APIM.MANAGER.PROD.DEVEXT	p1vsx30	PRD	APPLIANCE.CMC.VM	
v10099	LIVE	g.cs.p1	WWSM	DIRECTOR;DATABASE.SHARED.CLIENT.DB2V9;SCM	p1vsp08	PRD	SYSTEM.P7-740.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10100	FLUX	y.ei.p1	SHARED	XCAT.SERVICENODE	p1vsx02	PRD	SYSTEM.X3650.VM	Linux sles11 x86_64 3.0.101-0.47.67-default
v10101	LIVE	y.ei.p1	SHARED	WEBSERVER.EI.TAD4D;WEBSERVER.EI.TOOLS;WEBSERVER.EITADMH.PRD.YZ	p1vsp08	PRD	SYSTEM.P7-740.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10102	LIVE	g.ei.p1	SHARED	MONITORING.SMA.ITM.HTEMS.1ARY	p1vsp10	PRD	SYSTEM.P7-780.LPAR	AIX AIX7 64-bit 7100-03-05-1524
v10103	LIVE	b.ei.p1	IBM	WEBSERVER.IBM.PRD.BZ;PUB.IBM.ENDPOINT.BZ;WEBSERVER.CLUSTER.BZPRDCL005	p1vsp06	PRD	SYSTEM.P7-750.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10104	LIVE	b.ei.p1	IBM	WEBSERVER.IBM.PRD.BZ;PUB.IBM.ENDPOINT.BZ;WEBSERVER.CLUSTER.BZPRDCL005	p1vsp09	PRD	SYSTEM.P7-780.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10105	LIVE	y.cs.p1	IBM	WEBSERVER.IBM.ORIGIN;PUB.IBM.ENDPOINT;DATABASE.IBM.CLIENT.DB2V9;WEBSERVER.CLUSTER.YZPRDCL001;PUB.IBM.LSYNCD.ENDPOINT	p1vsp06	PRD	SYSTEM.P7-750.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10106	LIVE	y.cs.p1	IBM	WEBSERVER.IBM.ORIGIN;PUB.IBM.ENDPOINT;DATABASE.IBM.CLIENT.DB2V9;WEBSERVER.CLUSTER.YZPRDCL001;PUB.IBM.LSYNCD.ENDPOINT	p1vsp13	PRD	SYSTEM.P7-750.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10107	LIVE	y.cs.p1	IBM	WEBSERVER.IBM.ORIGIN;PUB.IBM.ENDPOINT;DATABASE.IBM.CLIENT.DB2V9;WEBSERVER.CLUSTER.YZPRDCL001;PUB.IBM.LSYNCD.ENDPOINT	p1vsp10	PRD	SYSTEM.P7-780.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10108	LIVE	y.cs.p1	IBM	PUB.IBM.HUB;PUB.IBM.LDIST;GPFS.CLIENT	p1vsp10	PRD	SYSTEM.P7-780.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10109	LIVE	g.cs.p1	IBM	PUB.IBM.ENDPOINT.PROD.GZ;WAS.IBM.PRD3.GZ;WXS.IBM.PRD.GRID;WXS.IBM.PRD.CATALOG;MQ.IBM.CLIENT;DATABASE.IBM.CLIENT.DB2V10	p1vsp08	PRD	SYSTEM.P7-740.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10110	LIVE	g.cs.p1	IBM	PUB.IBM.ENDPOINT.PROD.GZ;WAS.IBM.PRD3.GZ;WXS.IBM.PRD.GRID;MQ.IBM.CLIENT;DATABASE.IBM.CLIENT.DB2V10	p1vsp09	PRD	SYSTEM.P7-780.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10111	LIVE	g.cs.p1	IBM	PUB.IBM.ENDPOINT.PROD.GZ;WAS.IBM.PRD3.GZ;WXS.IBM.PRD.GRID;MQ.IBM.CLIENT;DATABASE.IBM.CLIENT.DB2V10	p1vsp10	PRD	SYSTEM.P7-780.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10112	LIVE	g.cs.p1	IBM	PUB.IBM.ENDPOINT.PROD.GZ;WAS.IBM.PRD2.GZ;MQ.IBM.CLIENT;DATABASE.IBM.CLIENT.DB2V10	p1vsp05	PRD	SYSTEM.P7-750.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10113	LIVE	g.cs.p1	IBM	DATABASE.IBM.PRD1;MONITORING.SMA.ITM.SCRIPT.DB2REPL;MQ.IBM.QREPL.PRD	p1vsp10	PRD	SYSTEM.P7-780.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10114	LIVE	g.cs.p1	SHARED	MQ.ESC.PRD;MQ.STG.PRD;ESC.MQ.LOG.XFER;MQ.XSR.PRD	p1vsp10	PRD	SYSTEM.P7-780.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10115	LIVE	b.ei.p1	SHARED	MQ.IBM.HUB.PRD;MQ.XSR.HUB.PRD	p1vsp10	PRD	SYSTEM.P7-780.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10116	LIVE	g.cs.p1	IBM	APIM;APPLIANCE.CMC.VM;APIM.MANAGER.PROD.DEVINT	p1vsx31	PRD	APPLIANCE.CMC.VM	
v10117	LIVE	g.cs.p1	IBM	APIM;APPLIANCE.CMC.VM;APIM.MANAGER.PROD.RUNEXT	p1vsx34	PRD	APPLIANCE.CMC.VM	
v10118	LIVE	g.cs.p1	IBM	APIM;APPLIANCE.CMC.VM;APIM.MANAGER.PROD.RUNINT	p1vsx31	PRD	APPLIANCE.CMC.VM	
v10119	LIVE	y.cs.p1	IBM	WEBSERVER.IBM.PRD.PORTAL;GPFS.CLIENT	p1vsp09	PRD	SYSTEM.P7-780.LPAR	Linux sles11 ppc64 3.0.101-0.47.67-ppc64
v10120	LIVE	b.ei.p1	SHARED	MONITORING.SMA.ITM.TEPS.1ARY;DATABASE.SMA.TEPS	p1vsp09	PRD	SYSTEM.P7-780.LPAR	AIX AIX7 64-bit 7100-03-05-1524
v10121	LIVE	y.cs.p1	IBM	WEBSERVER.IBM.PRD.PORTAL;GPFS.CLIENT	p1vsp09	PRD	SYSTEM.P7-780.LPAR	Linux sles11 ppc64 3.0.101-0.47.67-ppc64
v10122	LIVE	g.cs.p1	STG	WPS.SPE.PRD;WPS.SPE.PRD.70;PUB.STG.ENDPOINT.PRD.GZ;WXS.SPE.PRD.CATALOG;WXS.SPE.PRD.GRID	p1vsp05	PRD	SYSTEM.P7-750.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10123	LIVE	g.cs.p1	STG	WPS.SPE.PRD;WPS.SPE.PRD.70;PUB.STG.ENDPOINT.PRD.GZ;WXS.SPE.PRD.GRID	p1vsp06	PRD	SYSTEM.P7-750.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10124	LIVE	r.mt.p1	SHARED	NETSCALER;NETSCALER.RZ;NETSCALER.IBM.WWW	p1nsa13	PRD	APPLIANCE.NETSCALER.VM	
v10125	FLUX	g.cs.p1	SSO	WAS.SSO.PRD;WAS.SSO.PRD.85;WAS.TFIM.PRD	p1vsp13	PRD	SYSTEM.P7-750.LPAR	AIX AIX7 64-bit 7100-03-05-1524
v10126	LIVE	y.ei.p1	SHARED	MAIL.OUTBOUND.GW	p1vsx02	PRD	SYSTEM.X3650.VM	Linux sles11 x86_64 3.0.101-0.47.67-default
v10127	LIVE	y.ei.p1	SHARED	DNS.FORWARDER;MAIL.INBOUND.RELAY;WEBSERVER.EI.LISTMAN;MAIL.DPR;WEBSERVER.CLUSTER.YZPRDCL011	p1vsx02	PRD	SYSTEM.X3650.VM	Linux sles11 x86_64 3.0.101-0.47.67-default
v10128	LIVE	b.ei.p1	SHARED	DNS.INTERNAL.GSLB	p1vsx02	PRD	SYSTEM.X3650.VM	Linux sles11 x86_64 3.0.101-0.47.67-default
v10129	LIVE	y.ei.p1	SHARED	DNS.INTERNAL;MAIL.OUTBOUND.RELAY;PUB.INFRA.CLIENT.SECEVENTS	p1vsx02	PRD	SYSTEM.X3650.VM	Linux sles11 x86_64 3.0.101-0.47.67-default
v10130	LIVE	y.ei.p1	SHARED	MAIL.INBOUND.GW	p1vsx03	PRD	SYSTEM.X3650.VM	Linux sles11 x86_64 3.0.101-0.47.67-default
v10131	LIVE	b.ei.p1	SHARED	TRIPWIRE;SCANNER.OLD	p1vsx03	PRD	SYSTEM.X3650.VM	Linux sles11 x86_64 3.0.101-0.47.67-default
v10132	LIVE	y.ei.p1	SHARED	TACACS	p1vsx03	PRD	SYSTEM.X3650.VM	Linux sles11 x86_64 3.0.101-0.47.67-default
v10133	LIVE	y.ei.p1	SHARED	DNS.FORWARDER	p1vsx03	PRD	SYSTEM.X3650.VM	Linux sles11 x86_64 3.0.101-0.47.67-default
v10134	LIVE	g.ei.p1	SHARED	DNS.MASTER	p1vsx03	PRD	SYSTEM.X3650.VM	Linux sles11 x86_64 3.0.101-0.47.67-default
v10135	LIVE	y.ei.p1	SHARED	SECLOGGER;NETFLOW.COLLECTOR	p1vsx02	PRD	SYSTEM.X3650.VM	Linux sles11 x86_64 3.0.101-0.47.67-default
v10136	LIVE	y.ei.p1	SHARED	DNS.INTERNAL	p1vsx03	PRD	SYSTEM.X3650.VM	Linux sles11 x86_64 3.0.101-0.47.67-default
v10137	LIVE	y.ei.p1	SHARED	WEBSERVER.SPONG.EI;WEBSERVER.CLUSTER.YZPRDCL009	p1vsx03	PRD	SYSTEM.X3650.VM	Linux sles11 x86_64 3.0.101-0.47.67-default
v10138	LIVE	y.ei.p1	SHARED	DNS.EXTERNAL.GSLB	p1vsx02	PRD	SYSTEM.X3650.VM	Linux sles11 x86_64 3.0.101-0.47.67-default
v10139	LIVE	g.cs.p1	IBM	APIM.UTIL	p1vsx03	PRD	SYSTEM.X3650.VM	Linux rh6.7 i386 2.6.32-573.7.1.el6.x86_64
v10140	LIVE	y.ei.p1	SHARED	DNS.EXTERNAL.GSLB	p1vsx03	PRD	SYSTEM.X3650.VM	Linux sles11 x86_64 3.0.101-0.47.67-default
v10141	LIVE	g.ei.p1	SHARED	DNS.INTERNAL	p1vsx03	PRD	SYSTEM.X3650.VM	Linux sles11 x86_64 3.0.101-0.47.67-default
v10142	LIVE	b.ei.p1	SHARED	IRC;SQUID;MAIL.OUTBOUND.RELAY;DNS.INTERNAL	p1vsx04	PRD	SYSTEM.X3650.VM	Linux sles11 x86_64 3.0.101-0.47.67-default
v10143	LIVE	y.ei.p1	SHARED	GPFS.SERVER.CNFS;NFS;NTP.STRATUM2;TFTP;LCS.TARPKG;WEBSERVER.EI.WFS;WEBSERVER.CLUSTER.YZPRDCL015	p1vsp08	PRD	SYSTEM.P7-740.LPAR	Linux sles11 ppc64 3.0.101-0.47.67-ppc64
v10144	LIVE	y.ei.p1	SHARED	GPFS.SERVER.CNFS;NFS;NTP.STRATUM2;TMF.LCF.GATEWAY;WEBSERVER.EI.WFS;WEBSERVER.CLUSTER.YZPRDCL015	p1vsp05	PRD	SYSTEM.P7-750.LPAR	Linux sles11 ppc64 3.0.101-0.47.67-ppc64
v10145	LIVE	g.ei.p1	SHARED	GPFS.SERVER.CNFS;NFS;LCS.TARPKG	p1vsp13	PRD	SYSTEM.P7-750.LPAR	Linux sles11 ppc64 3.0.101-0.47.67-ppc64
v10146	LIVE	g.ei.p1	SHARED	GPFS.SERVER.CNFS;GPFS.SERVER.SYNC;NFS	p1vsp08	PRD	SYSTEM.P7-740.LPAR	Linux sles11 ppc64 3.0.101-0.47.67-ppc64
v10147	LIVE	b.ei.p1	SHARED	GPFS.SERVER.CNFS;NFS;LCS.TARPKG	p1vsp05	PRD	SYSTEM.P7-750.LPAR	Linux sles11 ppc64 3.0.101-0.47.67-ppc64
v10148	LIVE	b.ei.p1	SHARED	GPFS.SERVER.CNFS;NFS;TMF.LCF.GATEWAY	p1vsp13	PRD	SYSTEM.P7-750.LPAR	Linux sles11 ppc64 3.0.101-0.47.67-ppc64
v10149	LIVE	y.cs.p1	ICE	WEBSERVER.ICE.PRD.NEXTGEN;WEBSERVER.ICE.PRD;WEBSERVER.CLUSTER.YZPRDCL012;PUB.ICE.LDIST.PRD;PUB.ICE.ENDPOINT;PUB.ICE.ENDPOINT.PRD	p1vsp08	PRD	SYSTEM.P7-740.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10150	LIVE	y.cs.p1	ICE	WEBSERVER.ICE.PRD.NEXTGEN;WEBSERVER.ICE.PRD;WEBSERVER.CLUSTER.YZPRDCL012;PUB.ICE.ENDPOINT;PUB.ICE.ENDPOINT.PRD	p1vsp04	PRD	SYSTEM.P7-740.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10151	LIVE	y.cs.p1	SHARED	WEBSERVER.SWS.X;WEBSERVER.EI.61029;GPFS.CLIENT;PUB.SHARED.ENDPOINT.PRD.SWS.YZ;APPDYNAMICS.AGENT.PRD	p1vsx03	PRD	SYSTEM.X3650.VM	Linux sles11 x86_64 3.0.101-0.47.67-default
v10152	LIVE	y.cs.p1	SHARED	WEBSERVER.SWS.X;WEBSERVER.EI.61029;GPFS.CLIENT;PUB.SHARED.ENDPOINT.PRD.SWS.YZ;APPDYNAMICS.AGENT.PRD	p1vsx02	PRD	SYSTEM.X3650.VM	Linux sles11 x86_64 3.0.101-0.47.67-default
v10153	LIVE	y.cs.p1	SHARED	WEBSERVER.SWS.X;WEBSERVER.EI.61029;GPFS.CLIENT;PUB.SHARED.ENDPOINT.PRD.SWS.YZ;APPDYNAMICS.AGENT.PRD	p1vsx04	PRD	SYSTEM.X3650.VM	Linux sles11 x86_64 3.0.101-0.47.67-default
v10154	LIVE	y.cs.p1	ESC	MQ.ESC.HUB.PRD;ESC.MQ.LOG.XFER	p1vsp05	PRD	SYSTEM.P7-750.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10155	LIVE	g.cs.p1	CNP	WAS.CNP.PRD;WXS.CNP.WAS.PRD.GRID;WXS.CNP.WAS.PRD.CATALOG	p1vsp10	PRD	SYSTEM.P7-780.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10156	LIVE	g.cs.p1	SSO	WAS.SSO.PRD;WXS.SSO.PRD.GRID;WXS.SSO.PRD.CATALOG	p1vsp05	PRD	SYSTEM.P7-750.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10157	LIVE	g.cs.p1	SSO	WAS.SSO.PRD;WXS.SSO.PRD.GRID	p1vsp09	PRD	SYSTEM.P7-780.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10158	LIVE	r.mt.p1	SHARED	NETSCALER;NETSCALER.RZ;NETSCALER.OTHER	p1nsa13	PRD	APPLIANCE.NETSCALER.VM	
v10159	LIVE	g.cs.p1	CNP	WAS.CNP.PRD;WXS.CNP.WAS.PRD.GRID	p1vsp09	PRD	SYSTEM.P7-780.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10160	FLUX	y.cs.p1	JAMS	WEBSERVER.JAMEXT.PRD.YZ;PUB.SHARED.ENDPOINT.PRD.SWS.YZ;APPDYNAMICS.AGENT.PRD;WEBSERVER.JAMEXT.PRD.YZ.PROVISIONED;GPFS.CLIENT;WEBSERVER.CLUSTER.YZPRDCL016	p1vsx04	PRD	SYSTEM.X3650.VM	Linux rh6.7 i386 2.6.32-573.7.1.el6.x86_64
v10161	LIVE	b.ei.p1	CNP	WEBSERVER.CNP.BZ;WEBSERVER.CLUSTER.BZPRDCL007	p1vsp10	PRD	SYSTEM.P7-780.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10162	LIVE	g.cs.p1	WWSM	MQ.MASTERS.PRD;DATABASE.MASTERS.GZ.DB2V9;MONITORING.SMA.ITM.SCRIPT.DB2REPL;DATABASE.WWSM.PRD	p1vsp08	PRD	SYSTEM.P7-740.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10163	LIVE	g.cs.p1	ZPAP	WAS.ZPAP.PROD;DATABASE.ZPAP.CLIENT.DB2V9	p1vsp10	PRD	SYSTEM.P7-780.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10164	LIVE	g.cs.p1	ZPAP	DATABASE.ZPAP.PRD;DATABASE.ZPAP.PROD.DB2V9;MONITORING.SMA.ITM.SCRIPT.DB2REPL;MQ.ZPAP.PRD	p1vsp10	PRD	SYSTEM.P7-780.LPAR	AIX AIX6 64-bit 6100-09-05-1524
v10165	LIVE	g.cs.p1	IBM	WAS.IBM.PRD.ES;PUB.IBM.ENDPOINT.PROD.GZ;DATABASE.IBM.CLIENT.DB2V9;GPFS.IBMSEARCH	p1vsx06	PRD	SYSTEM.X3850	Linux sles11 x86_64 3.0.101-0.47.67-default
v10166	LIVE	g.cs.p1	IBM	WAS.IBM.PRD.ES;PUB.IBM.ENDPOINT.PROD.GZ;DATABASE.IBM.CLIENT.DB2V9;GPFS.IBMSEARCH	p1vsx07	PRD	SYSTEM.X3850	Linux sles11 x86_64 3.0.101-0.47.67-default
v10167	LIVE	g.cs.p1	EDR	DATABASE.EDR.PRD;LDAP.EDR.PRD;MQ.EDR.QREPL.PRD;MONITORING.SMA.ITM.SCRIPT.DB2REPL	p1vsp13	PRD	SYSTEM.P7-750.LPAR	AIX AIX7 64-bit 7100-03-05-1524
v10168	LIVE	g.cs.p1	SHARED	WAS.ODR.VE.PRD.85	p1vsp13	PRD	SYSTEM.P7-750.LPAR	AIX AIX7 64-bit 7100-03-05-1524
v10169	LIVE	y.ei.p1	SHARED	MONITORING.SMA.ITM.RTEMS;MONITORING.SMA.ITM.WPA;NETCOOL.OMNIBUS.SOCKET.SERVER;NETCOOL.OMNIBUS.MTTRAPD.SERVER;DATABASE.SHARED.CLIENT.DB2V10	p1vsp06	PRD	SYSTEM.P7-750.LPAR	AIX AIX7 64-bit 7100-03-05-1524
v10170	LIVE	y.ei.p1	SHARED	MONITORING.SMA.ITM.RTEMS;MONITORING.SMA.ITM.WPA;NETCOOL.OMNIBUS.SOCKET.SERVER;NETCOOL.OMNIBUS.MTTRAPD.SERVER;DATABASE.SHARED.CLIENT.DB2V10	p1vsp05	PRD	SYSTEM.P7-750.LPAR	AIX AIX7 64-bit 7100-03-05-1524
v10171	LIVE	g.ei.p1	SHARED	MONITORING.SMA.ITM.TDW;DATABASE.SMA.TDW.GZ.DB2V10	p1vsp10	PRD	SYSTEM.P7-780.LPAR	AIX AIX7 64-bit 7100-03-05-1524
v10172	LIVE	y.ei.p1	SHARED	MONITORING.SMA.ITNM;DATABASE.SHARED.ITNM.CLIENT.DB2V10	p1vsp09	PRD	SYSTEM.P7-780.LPAR	AIX AIX7 64-bit 7100-03-05-1524
