p5.www.collaborationjam.com	JAMS
p5.www.ibm.com	IBM
p5.wwwtest-947.events.ibm.com	SSO
p5.wwwtest-947.ibm.com	SSO
p5eirylb01.gslbflowtest.events.ibm.com	SHARED
p5eirylb02.gslbflowtest.events.ibm.com	SHARED
s3.cmauso-origin.ausopen.com	WWSM
s3.cmauso.wat-sl.cs186.net	WWSM
s3.sessions.usopen.org	WWSM
s4.sessions.usopen.org	WWSM
s5.cmauso-origin.ausopen.com	WWSM
s5.cmauso.wat-sl.cs186.net	WWSM
sessions.usopen.org	WWSM
svc1.p1	SHARED
svc1.p2	SHARED
svc1.p3	SHARED
svc1.p5	SHARED
svc1.z1	SHARED
w3b.ibm.com	IBM
www.collaborationjam.com	JAMS
